product_id,id_web,price,total_sales,post_title,ca_par_bouteille
5008,11602,105.0,0,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,0.0
5010,15073,55.6,0,Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017,0.0
5016,14839,9.3,3,Château Tour Des Gendres Bergerac Blanc Cuvée Des Conti 2017,27.9
5019,14696,19.8,0,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,0.0
5024,11996,45.0,0,Champagne Agrapart &amp; Fils Les 7 Crus Brut Blanc de Blancs,0.0
5025,13914,112.0,0,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,0.0
5026,13913,86.8,0,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,0.0
5027,11997,62.1,0,Champagne Agrapart &amp; Fils Terroirs Brut Blanc de Blancs Grand Cru,0.0
5047,531,22.5,13,Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,292.5
5056,13531,7.5,1,Domaine de Montgilet Anjou Rouge 2016,7.5
5061,15711,52.6,0,Lucien Boillot Gevrey Chambertin Les Evocelles 2017,0.0
5062,15713,45.0,2,Lucien Boillot Gevrey Chambertin 2017,90.0
5063,15715,67.0,0,Lucien Boillot Pommard 1er Cru Les Croix Noires 2017,0.0
5067,15346,59.9,16,Albert Mann Pinot Noir Grand H 2017,958.4
5068,15345,59.9,0,Albert Mann Pinot Noir Grand P 2017,0.0
5069,15344,65.0,0,Albert Mann Pinot Noir Les Saintes Claires 2017,0.0
5375,15755,15.2,1,David-Beaupère Juliénas Les Trois Verres 2018,15.2
5377,15677,19.0,0,Argentine Alamos Catena Malbec 2017,0.0
5379,14561,11.1,0,Argentine Mendoza Alamos Torrontes 2017,0.0
5380,16022,18.0,0,Nouvelle-Zélande Marlborough Momo Sauvignon Blanc 2018,0.0
5382,16011,22.8,0,Nouvelle-Zélande Marlborough Momo Pinot Noir 2016,0.0
5383,3383,19.5,0,Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015,0.0
5384,14149,28.8,0,Liban Vallée de la Békaa Château Marsyas 2012,0.0
5389,13904,16.1,0,Australie Maverick Breechens Blend 2012,0.0
5391,14141,24.2,1,Australie Maverick Trial Hill Riesling 2010,24.2
5393,12494,35.3,0,Australie Harkham Wines Old Vines 2011,0.0
5394,15462,10.7,0,Chili Valdivieso Merlot 2017,0.0
5395,15095,12.7,0,Chili Errazuriz Cabernet Sauvignon 2016,0.0
5396,14626,17.1,0,Chili De Martino Gallardia Cinsault 2017,0.0
